Course_Code,ClassId
KBDIG72,1
KBDIG72,2
KBDIG72,3
KBDIG72,4
KBDIG72,5
KBDIG72,6
KBDIG72,7
KBDIG72,8
KBDIG72,9
KBDIG72,10
KBDIG72,11
KBDIG72,12
KBDIG72,13
KBDIG72,14
KBDIG72,15
KBDIG72,16
KBDIG72,17
KBDIG72,18
KBDIG72,19
KBDIG72,20
KBDIG73,21
KBDIG73,22
KBDIG73,23
KBDIG73,24
KBDIG73,25
KBDIG73,26
KBDIG73,27
KBDIG73,28
KBDIG73,29
KBDIG73,30
KBDIG73,31
KBDIG73,32
KBDIG73,33
KBDIG73,34
KBDIG73,35
KBDIG73,36
KBDIG73,37
KBDIG73,38
KCDMG71,39
KCDMG71,40
KCDMG71,41
KCDMG71,42
KCDMG71,43
KCDMG71,44
KCDMG71,45
KCDMG71,46
KCDMG71,47
KCDMG71,48
KCDMG71,49
KCDMG71,50
KCDMG71,51
KCDMG71,52
KCDMG71,53
KCDMG71,54
KCDMG71,55
KCDMG71,56
KCDMG71,57
KCDMG71,58
KCDMG71,59
KCDMG71,60
KCDMG71,61
KCDMG81,62
KCDMG81,63
KCDMG81,64
KCDMG81,65
KCDMG81,66
KCDMG81,67
KCDMG81,68
KCDMG81,69
KCDMG81,70
KCDMG81,71
KCDMG81,72
KCDMG81,73
KCDMG81,74
KCDMG81,75
KCDMG81,76
KCDMG81,77
KCDMG81,78
KCDMG84,79
KCDMG84,80
KCDMG84,81
KCDMG84,82
KCDMG84,83
KCDMG84,84
KCDMG84,85
KCDMG84,86
KCDMG84,87
KCDMG84,88
KCDMG84,89
KCDMG84,90
KCDMG84,91
KSOFG71,92
KSOFG71,93
KSOFG71,94
KSOFG71,95
KSOFG71,96
KSOFG71,97
KSOFG71,98
KSOFG71,99
KSOFG71,100
KSOFG71,101
KSOFG71,102
KSOFG71,103
KSOFG71,104
KSOFG71,105
KSOFG71,106
KSOFG71,107
KSOFG71,108
KSOFG71,109
KSOFG71,110
KSOFG71,111
KSOFG71,112
KSOFG71,113
KSOFG71,114
KSOFG71,115
KSOFG71,116
KSOFG71,117
KSOFG71,118
KSOFG71,119
KSOFG71,120
KSOFG71,121
KSOFG71,122
KSOFG71,123
KSOFG71,124
KSOFG71,125
KSOFG71,126
KSOFG71,127
KSOFG71,128
KSOFG71,129
KSOFG71,130
KSOFG71,131
KSOFG71,132
KSOFG71,133
KSOFG72,134
KSOFG72,135
KSOFG72,136
KSOFG72,137
KSOFG72,138
KSOFG72,139
KSOFG72,140
KSOFG72,141
KSOFG72,142
KSOFG72,143
KSOFG72,144
KSOFG72,145
KSOFG72,146
KSOFG72,147
KSOFG72,148
KSOFG72,149
KSOFG72,150
KSOFG72,151
KSOFG72,152
KSOFG72,153
KSOFG72,154
KSOFG72,155
KSOFG72,156
KSOFG72,157
KSOFG72,158
KSOFG72,159
KSOFG72,160
KSOFG72,161
KSOFG72,162
KSOFG72,163
KSOFG73,164
KSOFG73,165
KSOFG73,166
KSOFG73,167
KSOFG84,168
KSOFG84,169
KSOFG84,170
KSOFG84,171
KSOFG73,172
KSOFG73,173
KSOFG73,174
KSOFG73,175
KSOFG73,176
KSOFG73,177
KSOFG73,178
KSOFG73,179
KSOFG73,180
KSOFG73,181
KSOFG73,182
KSOFG73,183
KSOFG73,184
KSOFG73,185
KSOFG73,186
KSOFG73,187
KSOFG73,188
KSOFG84,189
KSOFG84,190
KSOFG84,191
KSOFG84,192
KSOFG84,193
KSOFG84,194
KSOFG84,195
KSOFG84,196
KSOFG84,197
KSOFG84,198
KSOFG84,199
KSOFG84,200
KSOFG84,201
KSOFG84,202
KSOFG84,203
KSOFG84,204
KSOFG84,205
