Room, Module, Group, Capacity, Classes
0482 CR3- 0481 CR4- 0480 CR7- 0436 CR5 Projects/Media,KSOFG2/KBDIG3 Assessment,All Groups,33,0
0436 CR5 Projects/Media,KSOFG72 PROJ MGT & COLLABORATIVE COMM Gr C/P,C,22-33- 36,20
0481 CR4,KSOFG72 PROJ MGT & COLLABORATIVE COMM Gr B/P,B,22-33- 36,20
0470 Computing Practical Lab,KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Gr A/P,A,24-33- 36,16
0481 CR4,KSOFG72 DATABASE MGMT Gr B/P,B,22-33- 36,20
0484 CR1,KSOFG72 ACCTG B/P,All Groups,22-33- 36,20
0484 CR1,KSOFG72 DATA STRUCTURES & ALGORITHMS Gr A/P,A,22-33- 36,20
0484 CR1,KSOFG72 ADV. PROCEDURAL PROGRAMMING Gr B/P,B,22-33- 36,20
0482 CR3,KSOFG72 APPLD NETWORKING TECH 2 Gr A/P,A,22-33- 36,20
0470 Computing Practical Lab,KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Gr C/P,C,22-33- 36,20
